brand,product,url,imgSrc,name,categories,specific,hex,lightness,namingScheme
Bobbi Brown,Skin Long-Wear Weightless Foundation SPF 15,https://www.sephora.com/product/skin-long-wear-weightless-foundation-spf-15-P427430?icid2=products%20grid:p427430,/productimages/sku/s2032787+sw.jpg,natural tan,"skin, skin, color",NA,#CC9979,0.637254902,natural
Bobbi Brown,Skin Long-Wear Weightless Foundation SPF 15,https://www.sephora.com/product/skin-long-wear-weightless-foundation-spf-15-P427430?icid2=products%20grid:p427430,/productimages/sku/s2032779+sw.jpg,warm natural,"descriptor, skin",NA,#CEA26E,0.61960784310000006,natural
Bobbi Brown,Skin Long-Wear Weightless Foundation SPF 15,https://www.sephora.com/product/skin-long-wear-weightless-foundation-spf-15-P427430?icid2=products%20grid:p427430,/productimages/sku/s2032779+sw.jpg,warm natural,"descriptor, skin",NA,#CEA26E,0.61960784310000006,natural
Bobbi Brown,Skin Weightless Powder Foundation,https://www.sephora.com/product/skin-weightless-powder-foundation-P388664?icid2=products%20grid:p388664,/productimages/sku/s1646215+sw.jpg,natural,skin,4,#E4B485,0.7078431373,natural
Bobbi Brown,Skin Weightless Powder Foundation,https://www.sephora.com/product/skin-weightless-powder-foundation-P388664?icid2=products%20grid:p388664,/productimages/sku/s1646132+sw.jpg,warm natural,"descriptor, skin",4.5,#DEA77A,0.6745098039,natural
Burt's Bees,Goodness Glows Liquid Foundation,https://www.ulta.com/goodness-glows-liquid-foundation?productId=xlsImpprod16781010,https://images.ulta.com/is/image/Ulta/2518262sw?$50px$,natural beige,"skin, color",NA,#CFA881,0.6588235294,natural
Catrice,HD Liquid Coverage Foundation,https://www.ulta.com/hd-liquid-coverage-foundation?productId=xlsImpprod16021093,https://images.ulta.com/is/image/Ulta/2545709sw?$50px$,natural beige,"skin, color",35,#B88F61,0.5509803922,natural
Catrice,HD Liquid Coverage Foundation,https://www.ulta.com/hd-liquid-coverage-foundation?productId=xlsImpprod16021093,https://images.ulta.com/is/image/Ulta/2545695sw?$50px$,nude beige,"skin, color",32,#C19E77,0.6117647059,nude
Clinique,Superbalanced Makeup,https://www.ulta.com/superbalanced-makeup?productId=xlsImpprod10791911,https://images.ulta.com/is/image/Ulta/2153602?$sm$,nude beige,"skin, color",43,#F9F9F9,0.9764705882,nude
CoverGirl,Olay Simply Ageless Foundation,https://www.ulta.com/olay-simply-ageless-foundation?productId=xlsImpprod1060098,https://images.ulta.com/is/image/Ulta/2165915sw?$tn$,creamy natural,"drink, skin",220,#EAC9B0,0.8039215686,natural
CoverGirl,Olay Simply Ageless Foundation,https://www.ulta.com/olay-simply-ageless-foundation?productId=xlsImpprod1060098,https://images.ulta.com/is/image/Ulta/2165919sw?$50px$,natural beige,"skin, color",240,#E6B89B,0.7549019608,natural
CoverGirl,Olay Simply Ageless Foundation,https://www.ulta.com/olay-simply-ageless-foundation?productId=xlsImpprod1060098,https://images.ulta.com/is/image/Ulta/2165914sw?$50px$,natural ivory,"skin, gem, color",215,#E3B49E,0.7549019608,natural
CoverGirl,Simply Ageless 3-In-1 Liquid Foundation,https://www.ulta.com/simply-ageless-3-in-1-liquid-foundation?productId=xlsImpprod13501013,https://images.ulta.com/is/image/Ulta/2296380sw?$50px$,creamy natural,"drink, skin",NA,#EBBD9E,0.7705882353,natural
CoverGirl,Simply Ageless 3-In-1 Liquid Foundation,https://www.ulta.com/simply-ageless-3-in-1-liquid-foundation?productId=xlsImpprod13501013,https://images.ulta.com/is/image/Ulta/2296383sw?$50px$,natural beige,"skin, color",NA,#DEB098,0.7333333333,natural
CoverGirl,Simply Ageless 3-In-1 Liquid Foundation,https://www.ulta.com/simply-ageless-3-in-1-liquid-foundation?productId=xlsImpprod13501013,https://images.ulta.com/is/image/Ulta/2296382sw?$50px$,nude beige,"skin, color",NA,#DAB087,0.6921568627,nude
CoverGirl,TruBlend Matte Made Liquid Foundation,https://www.ulta.com/trublend-matte-made-liquid-foundation?productId=pimprod2000386,https://images.ulta.com/is/image/Ulta/2533531sw?$50px$,golden natural,"descriptor, skin",M10,#D1986B,0.61960784310000006,natural
CoverGirl,TruBlend Matte Made Liquid Foundation,https://www.ulta.com/trublend-matte-made-liquid-foundation?productId=pimprod2000386,https://images.ulta.com/is/image/Ulta/2533525sw?$50px$,light nude,"descriptor, skin",L60,#D7A98F,0.7019607843,nude
CoverGirl,TruBlend Matte Made Liquid Foundation,https://www.ulta.com/trublend-matte-made-liquid-foundation?productId=pimprod2000386,https://images.ulta.com/is/image/Ulta/2537291sw?$50px$,natural beige,"skin, color",M60,#CA9470,0.6156862745,natural
CoverGirl,TruBlend Matte Made Liquid Foundation,https://www.ulta.com/trublend-matte-made-liquid-foundation?productId=pimprod2000386,https://images.ulta.com/is/image/Ulta/2537267sw?$50px$,natural ivory,"skin, gem, color",L70,#D8A689,0.6921568627,natural
CoverGirl,TruBlend Matte Made Liquid Foundation,https://www.ulta.com/trublend-matte-made-liquid-foundation?productId=pimprod2000386,https://images.ulta.com/is/image/Ulta/2537278sw?$50px$,natural tan,"skin, skin, color",T50,#986C52,0.4588235294,natural
Dermablend,Cover Creme Full Coverage Foundation,https://www.ulta.com/cover-creme-full-coverage-foundation?productId=xlsImpprod540044,https://images.ulta.com/is/image/Ulta/2155630sw?$50px$,natural beige,"skin, color",25N,#E7B578,0.6882352941,natural
Dermablend,Leg and Body Makeup,https://www.ulta.com/leg-body-makeup?productId=xlsImpprod16041799,https://images.ulta.com/is/image/Ulta/2509160sw?$50px$,deep natural,"descriptor, skin",85W,#764118,0.2784313725,natural
Dermablend,Leg and Body Makeup,https://www.ulta.com/leg-body-makeup?productId=xlsImpprod16041799,https://images.ulta.com/is/image/Ulta/2509357sw?$tn$,fair nude,"descriptor, skin",0N,#FEEBD3,0.9117647059,nude
Dermablend,Leg and Body Makeup,https://www.ulta.com/leg-body-makeup?productId=xlsImpprod16041799,https://images.ulta.com/is/image/Ulta/2509386sw?$50px$,light natural,"descriptor, skin",20N,#E9B69D,0.7647058824,natural
Dermablend,Leg and Body Makeup,https://www.ulta.com/leg-body-makeup?productId=xlsImpprod16041799,https://images.ulta.com/is/image/Ulta/2509381sw?$50px$,medium natural,"descriptor, skin",40N,#D29F82,0.6666666667,natural
Dermablend,Quick Fix Body Foundation Stick,https://www.ulta.com/quick-fix-body-foundation-stick?productId=xlsImpprod10421007,https://images.ulta.com/is/image/Ulta/2274142sw?$50px$,nude,skin,10C,#F5C799,0.7803921569,nude
Dermablend,Smooth Liquid Camo Foundation,https://www.ulta.com/smooth-liquid-camo-foundation?productId=xlsImpprod11381017,https://images.ulta.com/is/image/Ulta/2310008sw?$50px$,natural,skin,25N,#E1C79B,0.7450980392,natural
e.l.f. Cosmetics,Flawless Finish Foundation,https://www.ulta.com/flawless-finish-foundation?productId=xlsImpprod14541123,https://images.ulta.com/is/image/Ulta/2500512sw?$50px$,natural,skin,NA,#DFC4A7,0.7647058824,natural
