brand,product,name,specific,lightness,hex,lightToDark,numbers,id
La Mer,The Luminous Lifting Cushion Foundation SPF 20 + Refill,warm honey,52,0.5490196078,#AA816E,TRUE,52,39
SEPHORA COLLECTION,Matte Perfection Powder Foundation,cool amber,52,0.5549019608,#B1826A,TRUE,52,62
Tarte,Travel Size Babassu Foundcealer Skincare Foundation Broad Spectrum SPF 20,deep neutral,52N,0.3725490196,#8B5333,TRUE,52,84
It Cosmetics,Your Skin But Better Foundation + Skincare,rich neutral,53,0.4156862745,#945E40,TRUE,53,73
SEPHORA COLLECTION,Matte Perfection Full Coverage Foundation,dark caramel,53,0.5117647059,#A96A5C,TRUE,53,68
Tarte,Travel Size Face Tape Foundation,deep golden,53G,0.4784313725,#AF7245,TRUE,53,83
SEPHORA COLLECTION,10 Hour Wear Perfection Foundation,macchiato,53.5,0.5392156863,#AB7D68,TRUE,53.5,66
SEPHORA COLLECTION,Best Skin Ever Liquid Foundation,NA,53.5N,0.5666666667,#C08D61,TRUE,53.5,67
KVD Vegan Beauty,True Portrait Medium Coverage Shake Foundation,medium,54,0.6,#C8996A,TRUE,54,55
Clinique,Beyond Perfecting Foundation + Concealer,honey wheat,WN 54,0.6529411765,#D9A374,NA,54,NA
Clinique,Even Better Glow Light Reflecting Makeup Broad Spectrum SPF 15,honey wheat,WN 54,0.6176470588,#D59566,NA,54,NA
SEPHORA COLLECTION,Matte Perfection Full Coverage Foundation,truffle,54,0.5156862745,#A36E64,TRUE,54,68
SEPHORA COLLECTION,Matte Perfection Powder Foundation,warm amber,54,0.5725490196,#B48770,TRUE,54,62
Bite Beauty,Changemaker Supercharged Micellar Foundation,NA,M55,0.7470588235,#E4B399,TRUE,55,75
Catrice,HD Liquid Coverage Foundation,warm bamboo,55,0.5882352941,#C1956B,TRUE,55,59
ColourPop,Pretty Fresh Foundation,light,55N,0.7823529412,#E2C2AD,TRUE,55,63
Natasha Denona,Foundation X+,warm red,55Wr,0.7235294118,#E1B390,TRUE,55,64
Natasha Denona,Transformatte Pore Vanishing Matte Foundation,NA,55WR,0.8019607843,#F6C6A3,TRUE,55,65
SEPHORA COLLECTION,10 Hour Wear Perfection Foundation,deep cocoa,55,0.3960784314,#896041,TRUE,55,66
SEPHORA COLLECTION,Best Skin Ever Liquid Foundation,NA,55N,0.5901960784,#C99064,TRUE,55,67
SEPHORA COLLECTION,10 Hour Wear Perfection Foundation,milk chocolate,56,0.4725490196,#9A7057,TRUE,56,66
SEPHORA COLLECTION,Matte Perfection Powder Foundation,neutral toffee,56,0.5647058824,#B3836D,TRUE,56,62
SEPHORA COLLECTION,MicroSmooth Baked Powder Foundation,mahogany,56,0.631372549,#CB9977,TRUE,56,72
SEPHORA COLLECTION,10 Hour Wear Perfection Foundation,tea,56.5,0.5352941176,#AA7767,TRUE,56.5,66
SEPHORA COLLECTION,Best Skin Ever Liquid Foundation,NA,56.5P,0.3960784314,#8A6140,TRUE,56.5,67
KVD Vegan Beauty,True Portrait Medium Coverage Shake Foundation,tan,57,0.5666666667,#C18F60,TRUE,57,55
SEPHORA COLLECTION,10 Hour Wear Perfection Foundation,deep chocolate,57,0.431372549,#92694A,TRUE,57,66
SEPHORA COLLECTION,Best Skin Ever Liquid Foundation,NA,57Y,0.4784313725,#B07344,TRUE,57,67
It Cosmetics,Your Skin But Better Foundation + Skincare,deep neutral,58,0.3568627451,#7C4E3A,TRUE,58,73
Clinique,Beyond Perfecting Foundation + Concealer,honey,CN 58,0.6666666667,#DBA879,NA,58,NA
Clinique,Even Better Glow Light Reflecting Makeup Broad Spectrum SPF 15,honey,CN 58,0.6431372549,#D99F6F,NA,58,NA
Clinique,Stay Matte Oil-Free Makeup,honey,CN 58,0.6666666667,#DBA879,NA,58,NA
Natasha Denona,Foundation X+,yellow,58Y,0.6901960784,#E6B47A,TRUE,58,64
Natasha Denona,Transformatte Pore Vanishing Matte Foundation,NA,58Y,0.6862745098,#DCAC82,TRUE,58,65
SEPHORA COLLECTION,10 Hour Wear Perfection Foundation,dark chocolate,58,0.4607843137,#906D5B,TRUE,58,66
SEPHORA COLLECTION,Matte Perfection Powder Foundation,toffee peach,58,0.5588235294,#B58168,TRUE,58,62
It Cosmetics,Your Skin But Better Foundation + Skincare,deep cool,59,0.3764705882,#895337,TRUE,59,73
SEPHORA COLLECTION,10 Hour Wear Perfection Foundation,mahogany,59,0.5039215686,#A26F5F,TRUE,59,66
SEPHORA COLLECTION,Best Skin Ever Liquid Foundation,NA,59N,0.4274509804,#966844,TRUE,59,67
SEPHORA COLLECTION,Matte Perfection Full Coverage Foundation,ebony,59,0.5078431373,#99736A,TRUE,59,68
It Cosmetics,Your Skin But Better Foundation + Skincare,deep warm,60,0.3078431373,#73492A,TRUE,60,73
KVD Vegan Beauty,True Portrait Medium Coverage Shake Foundation,tan,60,0.5333333333,#B88558,TRUE,60,55
