brand,product,name,specific,lightness,hex,lightToDark,numbers,id
Bobbi Brown,Skin Weightless Powder Foundation,porcelain,0,0.8215686275,#F3C9B0,TRUE,0,1
Charlotte Tilbury,Magic Foundation,porcelain,0,0.731372549,#D9AE9C,TRUE,0,2
Givenchy,Matissime Velvet Radiant Mattifying Fluid Foundation SPF 20,ivory,N00,0.831372549,#F5D8B3,TRUE,0,3
HOURGLASS,Veil Fluid Makeup,porcelain,No. 0,0.8176470588,#F6D3AB,TRUE,0,4
Makeup Revolution,Conceal & Define Full Coverage Foundation,NA,F0,0.9490196078,#F2F2F2,TRUE,0,5
TOM FORD,Traceless Foundation Stick,pearl,0,0.9117647059,#FDE5D4,TRUE,0,6
TOM FORD,Traceless Soft Matte Foundation,pearl,0,0.8509803922,#F0D8C2,TRUE,0,7
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,0.1,0.8137254902,#F8CDA7,TRUE,0.1,8
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,0.1,0.9098039216,#F9E4D7,TRUE,0.1,9
Makeup Revolution,Conceal & Define Full Coverage Foundation,NA,F0.1,0.7568627451,#D4C2AE,TRUE,0.1,5
Makeup Revolution,Conceal & Define Satte Matte Powder Foundation,NA,P0.1,0.9196078431,#F5E9E0,TRUE,0.1,10
Smashbox,Primer + Foundation Customizable Set,NA,0.1,0.8,#E9C9AF,TRUE,0.1,11
TOM FORD,Traceless Foundation Stick,cameo,0.1,0.8843137255,#F5E2CE,TRUE,0.1,6
TOM FORD,Traceless Soft Matte Foundation,cameo,0.1,0.8470588235,#EED8C2,TRUE,0.1,7
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,0.2,0.7588235294,#F0BE93,TRUE,0.2,8
Makeup Revolution,Conceal & Define Full Coverage Foundation,NA,F0.2,0.7745098039,#E1CDAA,TRUE,0.2,5
Makeup Revolution,Conceal & Define Satte Matte Powder Foundation,NA,P0.2,0.9352941176,#F9EFE4,TRUE,0.2,10
Smashbox,Primer + Foundation Customizable Set,NA,0.2,0.7431372549,#E4B697,TRUE,0.2,11
Clinique,Beyond Perfecting Powder Foundation + Concealer,dune,0.25,0.9176470588,#FBEED9,NA,0.25,NA
Ofra Cosmetics,Absolute Cover Foundation,NA,0.25,0.6470588235,#C9AD81,TRUE,0.25,12
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,0.3,0.7843137255,#F4C59C,TRUE,0.3,8
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,0.3,0.9,#F5E2D6,TRUE,0.3,9
Makeup Revolution,Conceal & Define Full Coverage Foundation,NA,F0.3,0.6882352941,#CDB392,TRUE,0.3,5
Smashbox,Primer + Foundation Customizable Set,NA,0.3,0.7333333333,#DAB49C,TRUE,0.3,11
TOM FORD,Traceless Foundation Stick,ivory silk,0.3,0.7784313725,#EEC49F,TRUE,0.3,6
TOM FORD,Traceless Soft Matte Foundation,ivory silk,0.3,0.7921568627,#E4CCB0,TRUE,0.3,7
TOM FORD,Traceless Foundation Stick,rose,0.4,0.6882352941,#D3A58C,TRUE,0.4,6
TOM FORD,Traceless Soft Matte Foundation,rose,0.4,0.7960784314,#E4C7B2,TRUE,0.4,7
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,0.5,0.7156862745,#E6AE87,TRUE,0.5,8
bareMinerals,BAREPRO Longwear Powder Foundation ,porcelain,0.5,0.8725490196,#FCD3C1,TRUE,0.5,13
bareMinerals,BAREPRO Performance Wear Liquid Foundation Broad Spectrum SPF 20,porcelain,0.5,0.8431372549,#FCC8B2,TRUE,0.5,14
bareMinerals,BAREPRO Performance Wear Powder Foundation,porcelain,0.5,0.8431372549,#FCC8B2,TRUE,0.5,15
bareMinerals,BarePRO™ 24 hour Longwear Liquid Foundation with Mineral SPF 20 ,porcelain,0.5,0.8823529412,#FDD8C5,TRUE,0.5,16
Clinique,Beyond Perfecting Foundation + Concealer,shell,CN 0.5,0.9215686275,#F7EADF,NA,0.5,NA
Clinique,Beyond Perfecting Powder Foundation + Concealer,breeze,0.5,0.8333333333,#F7C9B2,NA,0.5,NA
Makeup Revolution,Conceal & Define Full Coverage Foundation,NA,F0.5,0.8274509804,#ECC7BA,TRUE,0.5,5
Smashbox,Primer + Foundation Customizable Set,NA,0.5,0.7196078431,#D2AB9D,TRUE,0.5,11
TOM FORD,Traceless Foundation Stick,porcelain,0.5,0.8647058824,#F8D5C1,TRUE,0.5,6
TOM FORD,Traceless Soft Matte Foundation,porcelain,0.5,0.7941176471,#E2CCB3,TRUE,0.5,7
Urban Decay Cosmetics,All Nighter Liquid Full Coverage Foundation,NA,0.5,0.7647058824,#DDC1A9,TRUE,0.5,17
Makeup Revolution,Conceal & Define Full Coverage Foundation,NA,F0.7,0.7156862745,#D2B89B,TRUE,0.7,5
Clinique,Beyond Perfecting Foundation + Concealer,custard,CN 0.75,0.9039215686,#F5E5D8,NA,0.75,NA
Benefit Cosmetics,Hello Happy Air Stick Foundation SPF 20,NA,Shade 1,0.8254901961,#F0D2B5,TRUE,1,18
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,fair cool,Shade 1,0.8176470588,#EACFB7,TRUE,1,19
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,fair cool,Shade 1,0.8039215686,#E3CFB7,TRUE,1,20
NUDESTIX,Tinted Cover Foundation,nude,1,0.8980392157,#F3DFD7,TRUE,1,21
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,1,0.7019607843,#E5AC81,TRUE,1,8
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,1,0.8215686275,#F1C6B2,TRUE,1,9
Armani Beauty,Power Fabric Longwear High Cover Foundation SPF 25,NA,1,0.7549019608,#E3B39E,TRUE,1,22
bareMinerals,BAREPRO Longwear Powder Foundation ,fair,1,0.8666666667,#F6D8C4,TRUE,1,13
bareMinerals,BAREPRO Performance Wear Liquid Foundation Broad Spectrum SPF 20,fair,1,0.837254902,#FBCDB0,TRUE,1,14
bareMinerals,BAREPRO Performance Wear Powder Foundation,fair,1,0.837254902,#FBCDB0,TRUE,1,15
bareMinerals,BarePRO™ 24 hour Longwear Liquid Foundation with Mineral SPF 20 ,fair,1,0.8705882353,#F1DFCB,TRUE,1,16
bareMinerals,Complexion Rescue Hydrating Foundation Stick Broad Spectrum SPF 25,opal,1,0.8019607843,#F3C1A6,TRUE,1,23
bareMinerals,COMPLEXION RESCUE™ Hydrating Foundation Stick with Mineral SPF 25 ,opal,1,0.8215686275,#F0C8B3,TRUE,1,24
bareMinerals,COMPLEXION RESCUE™ Tinted Moisturizer with Hyaluronic Acid and Mineral SPF 30,opal,1,0.8470588235,#ECD0C4,TRUE,1,25
bareMinerals,I AM AN ORIGINAL GET STARTED® KIT Original Loose Mineral Foundation Customizable Set,fair,1,0.7078431373,#CEB29B,TRUE,1,26
bareMinerals,Matte Foundation Broad Spectrum SPF 15,fair,1,0.9019607843,#FDE3CF,TRUE,1,27
bareMinerals,Matte Loose Powder Mineral Foundation SPF 15 ,fair,1,0.7078431373,#CEB29B,TRUE,1,28
bareMinerals,ORIGINAL Foundation Broad Spectrum SPF 15,fair,1,0.9019607843,#FDE3CF,TRUE,1,29
bareMinerals,ORIGINAL Liquid Mineral Foundation Broad Spectrum SPF 20,fair,1,0.831372549,#FBCDAD,TRUE,1,30
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,cool,1,0.9431372549,#FCF0E5,TRUE,1,31
Bobbi Brown,Skin Weightless Powder Foundation,warm ivory,1,0.8294117647,#F2CEB5,TRUE,1,1
Charlotte Tilbury,Light Wonder Foundation,fair,1,0.8568627451,#EBD8CA,TRUE,1,32
Charlotte Tilbury,Magic Foundation,neutral beige,1,0.7862745098,#E1C6B0,TRUE,1,2
Clinique,Almost Powder Makeup,fair,1,0.9509803922,#F4F3F1,NA,1,NA
Clinique,Beyond Perfecting Foundation + Concealer,flax,WN 01,0.8960784314,#EFE3DA,NA,1,NA
Givenchy,Matissime Velvet Radiant Mattifying Fluid Foundation SPF 20,porcelain,N01,0.7784313725,#E0C3AD,TRUE,1,3
HOURGLASS,Veil Fluid Makeup,ivory,No. 1,0.7588235294,#E8B89B,TRUE,1,4
ILIA,Super Serum Skin Tint SPF 40 Foundation,rendevous,1,0.9078431373,#FEE4D1,TRUE,1,33
jane iredale,Beyond Matte Liquid Foundation,NA,M1,0.8176470588,#FCCDA5,TRUE,1,34
KEVYN AUCOIN,Foundation Balm,light ef,1,0.8352941176,#F7D1B3,TRUE,1,35
KEVYN AUCOIN,Stripped Nude Skin Tint,NA,1,0.8764705882,#FCDBC3,TRUE,1,36
KEVYN AUCOIN,The Etherealist Foundation,light ef,1,0.7431372549,#D6B4A5,TRUE,1,37
Kosas,Tinted Face Oil Foundation,NA,1,0.868627451,#F1DECA,TRUE,1,38
La Mer,The Luminous Lifting Cushion Foundation SPF 20 + Refill,pink porcelain,1,0.8058823529,#F0C4AB,TRUE,1,39
Lancôme,SKIN FEELS GOOD Skin Nourishing Foundation,nude vanilla,01N,0.7137254902,#D6AB96,TRUE,1,40
Laura Mercier,Smooth Finish Foundation Powder,NA,1,0.7921568627,#FCCD98,TRUE,1,41
LORAC,PRO Soft Focus Longwear Foundation,NA,1,0.8,#E8CDB0,TRUE,1,42
Makeup Revolution,Conceal & Define Full Coverage Foundation,NA,F1,0.8352941176,#F3D4B7,TRUE,1,5
Makeup Revolution,Conceal & Define Satte Matte Powder Foundation,NA,P1,0.9078431373,#F4E7DB,TRUE,1,10
Makeup Revolution,Conceal & Glow Foundation,NA,F1,0.8156862745,#EDCCB3,TRUE,1,43
Makeup Revolution,Conceal & Hydrate Foundation,NA,F1,0.8098039216,#E6CBB7,TRUE,1,44
Makeup Revolution,Fast Base Stick Foundation,NA,F1,0.7392156863,#D8BDA1,TRUE,1,45
NUDESTIX,Nudies Tinted Blur Stick,light,1,0.7901960784,#E6BEAD,TRUE,1,46
Pacifica,Alight Clean Foundation,cool deep,01CD,0.3137254902,#7C4024,FALSE,1,47
PAT McGRATH LABS,Sublime Perfection Foundation,light,1,0.9235294118,#FCE7DB,TRUE,1,48
Physicians Formula,The Healthy Foundation SPF 20,NA,DpC1,0.3764705882,#92572E,TRUE,1,49
SEPHORA COLLECTION,Clean Glowing Skin Foundation,NA,1,0.7980392157,#ECCCAB,TRUE,1,50
SEPHORA COLLECTION,Make No Mistake Foundation & Concealer Stick,driftwood,1,0.7941176471,#E8C6AD,TRUE,1,51
SEPHORA COLLECTION,Matte Perfection Tinted Moisturizer,lace,1,0.8862745098,#EFDED5,TRUE,1,52
Smashbox,Primer + Foundation Customizable Set,NA,1,0.7196078431,#D4A69B,TRUE,1,11
surratt beauty,Surreal Skin Foundation Wand,NA,1,0.8176470588,#F5CFAC,TRUE,1,53
Urban Decay Cosmetics,All Nighter Liquid Full Coverage Foundation,NA,1,0.7431372549,#DEC09D,TRUE,1,17
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,1.05,0.6882352941,#DFAE80,TRUE,1.05,8
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,1.05,0.8196078431,#F1D1B1,TRUE,1.05,9
Smashbox,Primer + Foundation Customizable Set,NA,1.05,0.7176470588,#DAB694,TRUE,1.05,11
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,1.1,0.6450980392,#D1A378,TRUE,1.1,8
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,1.1,0.7980392157,#F0CBA7,TRUE,1.1,9
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,neutral,1.1,0.9176470588,#FCEDD8,TRUE,1.1,31
Smashbox,Primer + Foundation Customizable Set,NA,1.1,0.8137254902,#E0CDBF,TRUE,1.1,11
TOM FORD,Traceless Foundation Stick,warm sand,1.1,0.6607843137,#D3AA7E,TRUE,1.1,6
TOM FORD,Traceless Soft Matte Foundation,warm sand,1.1,0.7941176471,#E2D0B3,TRUE,1.1,7
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,1.15,0.6901960784,#E3AA7D,TRUE,1.15,8
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,1.15,0.8,#F6C6A2,TRUE,1.15,9
Smashbox,Primer + Foundation Customizable Set,NA,1.15,0.6980392157,#D0A594,TRUE,1.15,11
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,1.2,0.6803921569,#E0A77B,TRUE,1.2,8
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,1.2,0.8235294118,#FCD3A8,TRUE,1.2,9
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,cool,1.2,0.9117647059,#FBE6D6,TRUE,1.2,31
Smashbox,Primer + Foundation Customizable Set,NA,1.2,0.7294117647,#D5B49F,TRUE,1.2,11
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,warm,1.3,0.8588235294,#F5DBC1,TRUE,1.3,31
TOM FORD,Traceless Foundation Stick,nude ivory,1.3,0.6784313725,#D7A683,TRUE,1.3,6
TOM FORD,Traceless Soft Matte Foundation,nude ivory,1.3,0.7843137255,#E2C8AE,TRUE,1.3,7
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,neutral,1.4,0.8058823529,#ECCCAF,TRUE,1.4,31
TOM FORD,Traceless Foundation Stick,bone,1.4,0.6705882353,#D2A884,TRUE,1.4,6
TOM FORD,Traceless Soft Matte Foundation,bone,1.4,0.7745098039,#E2CCA9,TRUE,1.4,7
NUDESTIX,Tinted Cover Foundation,nude,1.5,0.8882352941,#F2DBD3,TRUE,1.5,21
Armani Beauty,Luminous Silk Foundation Customizable Set,NA,1.5,0.7568627451,#E4C19E,TRUE,1.5,54
bareMinerals,Complexion Rescue Hydrating Foundation Stick Broad Spectrum SPF 25,birch,1.5,0.837254902,#FCD0AF,TRUE,1.5,23
bareMinerals,COMPLEXION RESCUE™ Hydrating Foundation Stick with Mineral SPF 25 ,birch,1.5,0.7901960784,#F4C99F,TRUE,1.5,24
bareMinerals,COMPLEXION RESCUE™ Tinted Moisturizer with Hyaluronic Acid and Mineral SPF 30,birch,1.5,0.837254902,#F5D4B6,TRUE,1.5,25
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,cool,1.5,0.7960784314,#F0C3A6,TRUE,1.5,31
Charlotte Tilbury,Light Wonder Foundation,NA,1.5,0.8176470588,#EAD0B7,TRUE,1.5,32
HOURGLASS,Veil Fluid Makeup,nude,No. 1.5,0.7980392157,#EEC5A9,TRUE,1.5,4
TOM FORD,Traceless Foundation Stick,cream,1.5,0.7470588235,#EBAE92,TRUE,1.5,6
TOM FORD,Traceless Soft Matte Foundation,cream,1.5,0.7843137255,#E3C9AD,TRUE,1.5,7
Urban Decay Cosmetics,All Nighter Liquid Full Coverage Foundation,NA,1.5,0.7294117647,#DAB69A,TRUE,1.5,17
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,warm,1.6,0.7843137255,#EEC5A2,TRUE,1.6,31
Benefit Cosmetics,Hello Happy Air Stick Foundation SPF 20,NA,Shade 2,0.7823529412,#F1CB9E,TRUE,2,18
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,light warm,Shade 2,0.8352941176,#F7D3B3,TRUE,2,19
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,light neutral,Shade 2,0.8196078431,#EDD2B5,TRUE,2,20
KVD Vegan Beauty,True Portrait Medium Coverage Shake Foundation,light,2,0.9274509804,#FEE7DB,TRUE,2,55
NUDESTIX,Tinted Cover Foundation,nude,2,0.8176470588,#E8C5B9,TRUE,2,21
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,2,0.6607843137,#DEA973,TRUE,2,8
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,2,0.8156862745,#FCCCA4,TRUE,2,9
Armani Beauty,Designer Lift Smoothing Firming Full Coverage Foundation with SPF 20,NA,2,0.7274509804,#E4B98F,TRUE,2,56
Armani Beauty,Luminous Silk Compact Powder Foundation,NA,2,0.8,#E7C8B1,TRUE,2,57
Armani Beauty,Luminous Silk Foundation Customizable Set,NA,2,0.7137254902,#D2B39A,TRUE,2,54
Armani Beauty,Maestro Fusion Makeup SPF 15 Liquid Foundation,NA,2,0.7,#D8B28D,TRUE,2,58
Armani Beauty,Power Fabric Longwear High Cover Foundation SPF 25,NA,2,0.6960784314,#D1AE92,TRUE,2,22
bareMinerals,BAREPRO Longwear Powder Foundation ,ivory,2,0.8725490196,#FDD9C0,TRUE,2,13
bareMinerals,BAREPRO Performance Wear Liquid Foundation Broad Spectrum SPF 20,ivory,2,0.837254902,#FDCFAE,TRUE,2,14
bareMinerals,BAREPRO Performance Wear Powder Foundation,ivory,2,0.837254902,#FDCFAE,TRUE,2,15
bareMinerals,BarePRO™ 24 hour Longwear Liquid Foundation with Mineral SPF 20 ,ivory,2,0.8803921569,#FDDDC4,TRUE,2,16
bareMinerals,Complexion Rescue Hydrating Foundation Stick Broad Spectrum SPF 25,vanilla,2,0.7470588235,#EEB38F,TRUE,2,23
bareMinerals,COMPLEXION RESCUE™ Hydrating Foundation Stick with Mineral SPF 25 ,vanilla,2,0.7823529412,#EFC3A0,TRUE,2,24
bareMinerals,COMPLEXION RESCUE™ Tinted Moisturizer with Hyaluronic Acid and Mineral SPF 30,vanilla,2,0.7745098039,#DCBBAF,TRUE,2,25
bareMinerals,I AM AN ORIGINAL GET STARTED® KIT Original Loose Mineral Foundation Customizable Set,fair ivory,2,0.8019607843,#ECCEAD,TRUE,2,26
bareMinerals,Matte Foundation Broad Spectrum SPF 15,fair ivory,2,0.831372549,#FCCCAC,TRUE,2,27
bareMinerals,Matte Loose Powder Mineral Foundation SPF 15 ,fair ivory,2,0.6647058824,#D09B83,TRUE,2,28
bareMinerals,ORIGINAL Foundation Broad Spectrum SPF 15,fair ivory,2,0.831372549,#FCCCAC,TRUE,2,29
bareMinerals,ORIGINAL Liquid Mineral Foundation Broad Spectrum SPF 20,fair ivory,2,0.8078431373,#FDCB9F,TRUE,2,30
Bobbi Brown,Skin Weightless Powder Foundation,sand,2,0.768627451,#E7C3A1,TRUE,2,1
Catrice,HD Liquid Coverage Foundation,porcelain beige,2,0.7588235294,#E6C39D,TRUE,2,59
Catrice,True Skin Hydrating Foundation,neutral ivory,2,0.762745098,#EEBF97,TRUE,2,60
Charlotte Tilbury,Light Wonder Foundation,fair,2,0.7882352941,#E0C5B2,TRUE,2,32
Charlotte Tilbury,Magic Foundation,pink-beige,2,0.7823529412,#DEC2B1,TRUE,2,2
Clinique,Almost Powder Makeup,neutral fair,2,0.9509803922,#F4F3F1,NA,2,NA
Clinique,Beyond Perfecting Foundation + Concealer,breeze,CN 02,0.9176470588,#FEEAD6,NA,2,NA
Clinique,Beyond Perfecting Powder Foundation + Concealer,alabaster,2,0.7196078431,#E3B58C,NA,2,NA
Clinique,Even Better Glow Light Reflecting Makeup Broad Spectrum SPF 15,breeze,CN 02,0.8019607843,#F1C5A8,NA,2,NA
Givenchy,Matissime Velvet Radiant Mattifying Fluid Foundation SPF 20,shell,N02,0.8117647059,#E8C1B6,TRUE,2,3
HOURGLASS,Veil Fluid Makeup,light beige,No. 2,0.7235294118,#E2B08F,TRUE,2,4
ILIA,Super Serum Skin Tint SPF 40 Foundation,tulum,2,0.8607843137,#F3D8C4,TRUE,2,33
jane iredale,Beyond Matte Liquid Foundation,NA,M2,0.7549019608,#F1B990,TRUE,2,34
KEVYN AUCOIN,Foundation Balm,light ef,2,0.8274509804,#F6D2B0,TRUE,2,35
KEVYN AUCOIN,Stripped Nude Skin Tint,NA,2,0.8215686275,#F2D3B1,TRUE,2,36
KEVYN AUCOIN,The Etherealist Foundation,light ef,2,0.7196078431,#D2B49D,TRUE,2,37
Koh Gen Do,Aqua Foundation,cool,2,0.8078431373,#EBC7B1,TRUE,2,61
Kosas,Tinted Face Oil Foundation,NA,2,0.8529411765,#F3D8C0,TRUE,2,38
Lancôme,SKIN FEELS GOOD Skin Nourishing Foundation,natural blond,02C,0.6764705882,#D0A289,TRUE,2,40
Laura Mercier,Smooth Finish Foundation Powder,NA,2,0.8411764706,#F9D0B4,TRUE,2,41
LORAC,PRO Soft Focus Longwear Foundation,NA,2,0.7078431373,#D6B093,TRUE,2,42
Makeup Revolution,Conceal & Define Full Coverage Foundation,NA,F2,0.8215686275,#F4D2AF,TRUE,2,5
Makeup Revolution,Conceal & Glow Foundation,NA,F2,0.8254901961,#F1CDB4,TRUE,2,43
Makeup Revolution,Conceal & Hydrate Foundation,NA,F2,0.8078431373,#E9CAB3,TRUE,2,44
Makeup Revolution,Fast Base Stick Foundation,NA,F2,0.7509803922,#E0C79F,TRUE,2,45
NUDESTIX,Nudies Tinted Blur Stick,light,2,0.7470588235,#E1B19C,TRUE,2,46
Pacifica,Alight Clean Foundation,neutral deep,02ND,0.331372549,#834626,FALSE,2,47
PAT McGRATH LABS,Sublime Perfection Foundation,light,2,0.8843137255,#F6DCCD,TRUE,2,48
Physicians Formula,The Healthy Foundation SPF 20,NA,DpW2,0.2901960784,#704324,TRUE,2,49
SEPHORA COLLECTION,Make No Mistake Foundation & Concealer Stick,birch,2,0.7941176471,#E4C3B1,TRUE,2,51
SEPHORA COLLECTION,Matte Perfection Powder Foundation,porcelain neutral,2,0.8058823529,#E3C6B8,TRUE,2,62
SEPHORA COLLECTION,Matte Perfection Tinted Moisturizer,silk,2,0.8705882353,#F5D6C7,TRUE,2,52
Smashbox,Primer + Foundation Customizable Set,NA,2,0.7333333333,#E7B48F,TRUE,2,11
surratt beauty,Surreal Skin Foundation Wand,NA,2,0.7901960784,#F2C3A1,TRUE,2,53
TOM FORD,Traceless Foundation Stick,buff,2,0.7843137255,#F3C29D,TRUE,2,6
TOM FORD,Traceless Soft Matte Foundation,buff,2,0.7823529412,#E3C7AC,TRUE,2,7
Urban Decay Cosmetics,All Nighter Liquid Full Coverage Foundation,NA,2,0.7568627451,#E5BD9D,TRUE,2,17
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,2.1,0.6705882353,#DDA779,TRUE,2.1,8
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,2.1,0.8019607843,#FCC69D,TRUE,2.1,9
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,cool,2.1,0.7745098039,#E3C2A8,TRUE,2.1,31
Smashbox,Primer + Foundation Customizable Set,NA,2.1,0.762745098,#DBC0AA,TRUE,2.1,11
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,2.12,0.668627451,#DCA879,TRUE,2.12,8
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,2.12,0.7901960784,#F8C79B,TRUE,2.12,9
Smashbox,Primer + Foundation Customizable Set,NA,2.12,0.668627451,#D9A27C,TRUE,2.12,11
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,2.15,0.6470588235,#D59E75,TRUE,2.15,8
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,2.15,0.7960784314,#F3C0A3,TRUE,2.15,9
Smashbox,Primer + Foundation Customizable Set,NA,2.15,0.6745098039,#C89E90,TRUE,2.15,11
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,2.16,0.631372549,#D39D6F,TRUE,2.16,8
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,2.16,0.7941176471,#FCC599,TRUE,2.16,9
Smashbox,Primer + Foundation Customizable Set,NA,2.16,0.6862745098,#E0A27E,TRUE,2.16,11
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,2.18,0.6215686275,#CB9C72,TRUE,2.18,8
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,2.18,0.7803921569,#F6C298,TRUE,2.18,9
Smashbox,Primer + Foundation Customizable Set,NA,2.18,0.6666666667,#D79B7D,TRUE,2.18,11
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,2.2,0.6294117647,#D29E6F,TRUE,2.2,8
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,2.2,0.7647058824,#F9C28D,TRUE,2.2,9
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,neutral/olive,2.2,0.7666666667,#ECC49B,TRUE,2.2,31
Smashbox,Primer + Foundation Customizable Set,NA,2.2,0.7215686275,#D4B59C,TRUE,2.2,11
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,2.22,0.6333333333,#D39F70,TRUE,2.22,8
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,2.22,0.7509803922,#F4C28B,TRUE,2.22,9
Smashbox,Primer + Foundation Customizable Set,NA,2.22,0.6647058824,#D7A07C,TRUE,2.22,11
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,2.25,0.6058823529,#CC9669,TRUE,2.25,8
Smashbox,Primer + Foundation Customizable Set,NA,2.25,0.637254902,#C29483,TRUE,2.25,11
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,2.3,0.6176470588,#D19C6A,TRUE,2.3,8
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,2.3,0.7098039216,#EEB17C,TRUE,2.3,9
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,warm,2.3,0.7666666667,#ECC49B,TRUE,2.3,31
Smashbox,Primer + Foundation Customizable Set,NA,2.3,0.6980392157,#D0AD94,TRUE,2.3,11
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,2.35,0.6137254902,#CF9D6A,TRUE,2.35,8
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,2.35,0.6901960784,#ECAC74,TRUE,2.35,9
Smashbox,Primer + Foundation Customizable Set,NA,2.35,0.6568627451,#D69F79,TRUE,2.35,11
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,2.4,0.6235294118,#D29D6C,TRUE,2.4,8
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,2.4,0.6901960784,#F0AB70,TRUE,2.4,9
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,neutral/olive,2.4,0.7431372549,#E2C099,TRUE,2.4,31
Smashbox,Primer + Foundation Customizable Set,NA,2.4,0.6882352941,#D0A98F,TRUE,2.4,11
NUDESTIX,Tinted Cover Foundation,nude,2.5,0.7823529412,#E3BDAC,TRUE,2.5,21
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,neutral,2.5,0.7137254902,#DCB290,TRUE,2.5,31
Bobbi Brown,Skin Weightless Powder Foundation,warm sand,2.5,0.8098039216,#FBC9A2,TRUE,2.5,1
Makeup Revolution,Conceal & Define Full Coverage Foundation,NA,F2.5,0.762745098,#E9C39C,TRUE,2.5,5
TOM FORD,Traceless Foundation Stick,linen,2.5,0.7882352941,#EFC4A3,TRUE,2.5,6
TOM FORD,Traceless Soft Matte Foundation,linen,2.5,0.7764705882,#E2C9AA,TRUE,2.5,7
Urban Decay Cosmetics,All Nighter Liquid Full Coverage Foundation,NA,2.5,0.737254902,#DCB89C,TRUE,2.5,17
TOM FORD,Traceless Foundation Stick,vellum,2.7,0.7764705882,#EFC29D,TRUE,2.7,6
TOM FORD,Traceless Soft Matte Foundation,vellum,2.7,0.7784313725,#E0C6AD,TRUE,2.7,7
Benefit Cosmetics,Hello Happy Air Stick Foundation SPF 20,NA,Shade 3,0.768627451,#E8C3A0,TRUE,3,18
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,light neutral warm,Shade 3,0.7784313725,#E9C7A4,TRUE,3,19
